Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch
87.0,288.0,9408.0,11944.0,1.63,-0.03,38.23,38.55
13.94,400.0,9580.0,11988.0,1.62,-0.07,38.63,38.55
14.0,232.0,9488.0,11932.0,1.55,-0.13,38.49,38.54
14.06,288.0,9576.0,12004.0,1.58,-0.1,38.58,38.54
14.12,348.0,9548.0,12004.0,1.67,-0.01,38.5,38.53
14.18,332.0,9468.0,11888.0,1.63,-0.05,38.53,38.53
14.24,328.0,9444.0,11952.0,1.6,-0.08,38.31,38.5
14.3,312.0,9524.0,11984.0,1.46,-0.24,38.48,38.49
14.37,248.0,9564.0,12004.0,1.72,0.02,38.55,38.49
14.43,492.0,9568.0,11980.0,1.54,-0.15,38.61,38.5
14.49,300.0,9596.0,12028.0,1.6,-0.08,38.58,38.5
14.55,416.0,9588.0,12028.0,1.7,0.02,38.56,38.51
14.61,340.0,9516.0,11980.0,1.73,0.05,38.46,38.51
14.67,468.0,9592.0,12020.0,1.69,0.01,38.59,38.52
14.73,252.0,9524.0,11900.0,1.5,-0.18,38.67,38.52
14.79,284.0,9532.0,11980.0,1.58,-0.08,38.51,38.52
14.85,284.0,9476.0,12072.0,1.65,-0.01,38.13,38.48
14.91,324.0,9520.0,11752.0,1.6,-0.09,39.01,38.53
14.97,340.0,9556.0,11736.0,1.53,-0.12,39.15,38.58
15.04,352.0,9452.0,11876.0,1.63,0.03,38.52,38.58
15.1,396.0,9468.0,11924.0,1.69,0.09,38.45,38.57
15.16,308.0,9568.0,11888.0,1.63,0.01,38.83,38.6
15.22,416.0,9504.0,11964.0,1.76,0.17,38.46,38.59
15.28,260.0,9492.0,12016.0,1.64,0.03,38.31,38.56
15.34,320.0,9456.0,11848.0,1.48,-0.15,38.59,38.56
15.4,400.0,9452.0,11816.0,1.72,0.09,38.66,38.57
15.46,280.0,9496.0,11804.0,1.64,0.02,38.82,38.6
15.52,364.0,9508.0,11956.0,1.6,-0.01,38.49,38.59
15.58,400.0,9372.0,11872.0,1.58,-0.03,38.29,38.56
15.64,272.0,9596.0,12196.0,1.54,-0.09,38.2,38.52
15.7,444.0,9560.0,11968.0,1.72,0.06,38.62,38.53
15.76,444.0,9456.0,11940.0,1.69,0.04,38.38,38.52
15.82,352.0,9480.0,11964.0,1.45,-0.21,38.39,38.49
15.89,316.0,9444.0,11864.0,1.53,-0.14,38.52,38.49
15.95,368.0,9612.0,11936.0,1.59,-0.08,38.84,38.52
16.01,336.0,9572.0,11984.0,1.6,-0.05,38.62,38.53
16.07,220.0,9572.0,12108.0,1.63,0.0,38.33,38.51
16.13,320.0,9612.0,11940.0,1.76,0.12,38.83,38.55
16.19,296.0,9488.0,11768.0,1.6,-0.03,38.88,38.58
16.25,372.0,9592.0,11852.0,1.57,-0.03,38.98,38.62
16.31,408.0,9444.0,11976.0,1.54,-0.03,38.26,38.58
16.37,176.0,9488.0,12028.0,1.68,0.08,38.27,38.55
16.43,328.0,9472.0,11828.0,1.57,-0.05,38.69,38.56
16.5,344.0,9544.0,11992.0,1.57,-0.04,38.52,38.56
16.56,256.0,9548.0,11776.0,1.47,-0.14,39.04,38.6
16.62,396.0,9492.0,11984.0,1.68,0.1,38.38,38.58
16.68,356.0,9508.0,11828.0,1.59,-0.01,38.79,38.6
16.74,340.0,9456.0,11864.0,1.49,-0.09,38.56,38.59
16.8,404.0,9392.0,12004.0,1.61,0.03,38.04,38.54
16.86,448.0,9492.0,12044.0,1.71,0.09,38.24,38.51
16.92,296.0,9588.0,11908.0,1.57,-0.07,38.84,38.54
16.98,376.0,9516.0,11876.0,1.59,-0.03,38.7,38.56
17.05,252.0,9528.0,11860.0,1.53,-0.07,38.78,38.58
17.11,348.0,9476.0,11868.0,1.53,-0.06,38.61,38.58
17.17,296.0,9508.0,11924.0,1.66,0.08,38.57,38.58
17.23,212.0,9576.0,11916.0,1.64,0.05,38.79,38.6
17.29,232.0,9528.0,11884.0,1.52,-0.05,38.72,38.61
17.35,260.0,9536.0,11704.0,1.58,0.02,39.17,38.67
17.41,272.0,9616.0,11876.0,1.77,0.25,39.0,38.72
17.47,356.0,9588.0,11960.0,1.63,0.13,38.72,38.72
17.53,308.0,9488.0,11804.0,1.5,0.0,38.79,38.73
17.59,336.0,9504.0,11932.0,1.7,0.21,38.54,38.72
17.65,340.0,9588.0,11784.0,1.57,0.06,39.13,38.77
17.71,252.0,9592.0,11956.0,1.6,0.12,38.74,38.77
17.77,220.0,9384.0,11828.0,1.54,0.06,38.43,38.74
17.83,284.0,9528.0,11832.0,1.6,0.09,38.84,38.75
17.89,372.0,9444.0,11864.0,1.48,-0.02,38.52,38.73
17.95,236.0,9500.0,11956.0,1.48,-0.04,38.47,38.7
18.02,304.0,9484.0,12008.0,1.58,0.04,38.3,38.66
18.08,360.0,9636.0,11896.0,1.61,0.04,39.01,38.7
18.14,332.0,9568.0,11984.0,1.5,-0.05,38.6,38.69
18.2,312.0,9500.0,11900.0,1.63,0.08,38.6,38.68
18.26,264.0,9424.0,11756.0,1.61,0.05,38.72,38.69
18.32,456.0,9400.0,11820.0,1.8,0.25,38.49,38.68
18.38,320.0,9508.0,11984.0,1.59,0.02,38.43,38.66
18.44,316.0,9580.0,12008.0,1.63,0.04,38.58,38.65
18.5,276.0,9568.0,11872.0,1.6,0.01,38.87,38.68
